Outcome,Feature_Set,Model,N,R2_mean,R2_std,R2_ci_lo,R2_ci_hi,p_perm
BDI-II,Personality,Elastic Net,779,0.08721418469757174,0.07170486550670224,-0.07984869283947776,0.19577370267461716,0.004975124378109453
BDI-II,Personality,Ridge,779,0.08589948064011958,0.07266274498543934,-0.08115556220310555,0.19572428129275185,0.004975124378109453
BDI-II,Personality,Random Forest,779,0.05775607254033043,0.08567448103828385,-0.1355555265053919,0.190577708659639,0.004975124378109453
BDI-II,Personality,SVR,779,0.017305968895517984,0.10525470185753473,-0.2031872523680458,0.19699530105171384,0.004975124378109453
BDI-II,Behavior,Elastic Net,593,-0.004867661580231026,0.055511459722905276,-0.14070232538095714,0.07531559846666225,0.004975124378109453
BDI-II,Behavior,Ridge,593,-0.00803228743358223,0.05905011078086707,-0.1440270367473077,0.08068597791216733,0.03980099502487562
BDI-II,Behavior,Random Forest,593,-0.010827150388494586,0.06403179433929641,-0.15267447428228412,0.09017942488485377,0.0845771144278607
BDI-II,Behavior,SVR,593,-0.05194784827654243,0.07400734641750477,-0.23960155925406262,0.056532470710758446,0.1044776119402985
BDI-II,Pers+Beh,Elastic Net,588,0.10390286464387508,0.07473603171488974,-0.05574043298280982,0.22652639053637352,0.004975124378109453
BDI-II,Pers+Beh,Ridge,588,0.09925604922844179,0.0761715237267537,-0.07055397142737208,0.2135473637715237,0.004975124378109453
BDI-II,Pers+Beh,Random Forest,588,0.10658057606852937,0.0950725422980016,-0.08887664350898826,0.3002683020938899,0.004975124378109453
BDI-II,Pers+Beh,SVR,588,0.05521973802531934,0.09065629308334193,-0.11524049187988693,0.21453393333183274,0.004975124378109453
